psu,strata_id,Location.name.in.English,Location.name.in.Arabic,COD_Subdistrict,COD_District,COD_Governorate,Latitude,Longitude,SumDist,proba,num_households,num_surveys
25949,Tikrit,Al Bzikhah Village,قرية البزيخة,Al-Alam,Tikrit,Salah Al-Din,34.89208231,43.54881689,29486,0.01356576,400,6
22331,Tikrit,Al Baladiyat-402,البلديات-402,Um Al-Qura,Tikrit,Salah Al-Din,34.61124269,43.67409029,29486,0.017194601,507,6
22965,Tikrit,Hay Alqalaa,حي القلعة(6-تكريت)محلة 405,Um Al-Qura,Tikrit,Salah Al-Din,34.60364868,43.68996813,29486,0.004408872,130,6
27367,Tikrit,Hay Alziraa,حي الزراعة,Um Al-Qura,Tikrit,Salah Al-Din,34.58463421,43.68255174,29486,0.012548328,370,6
21357,Tikrit,Al Zallayah village,قرية الزلاية,Um Al-Qura,Tikrit,Salah Al-Din,34.45798508,43.72672328,29486,0.043003459,1268,12
23702,Tikrit,Qadisya 2 500 Area,حي المطاردة(قادسية2)مقاطعة 7 محله 218 – قطعه 500,Um Al-Qura,Tikrit,Salah Al-Din,34.65085216,43.64840368,29486,0.043105202,1271,6
25961,Tikrit,Hay Alarbaen,حي الاربعين-محله 414,Um Al-Qura,Tikrit,Salah Al-Din,34.59481215,43.67682715,29486,0.01410839,416,6
33823,Heet,AL-Moalimeen AL-Thaniya,حي المعلمين الثانية ,Markaz Heet,Heet,Al-Anbar,33.64578,42.80107,29284,0.009390794,275,6
23145,Tikrit,Al Ahad Al Jadid village,قرية العهد الجديد,Al-Alam,Tikrit,Salah Al-Din,34.72016511,43.69896303,29486,0.0254358,750,6
20484,Tooz Khurmato,Chardaghli village,قرية جرداغلي,Ameraly,Tooz Khurmato,Salah Al-Din,34.818984,44.557499,8090,0.040543881,328,12
25754,Tooz Khurmato,Markaz Tooz-Hay Al Askari,حي العسكري,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,34.87893383,44.61564474,8090,0.005315204,43,6
23788,Al-Kaim,Hay Al Rashid,حي الرشيد,Al-Karabla,Al-Kaim,Al-Anbar,34.38715286,40.98881848,15084,0.025523734,385,6
271,Al-Kaim,Door Al-Sikak,حي السكك,Al-Karabla,Al-Kaim,Al-Anbar,34.38771423,40.97593251,15084,0.010673561,161,6
25866,Tooz Khurmato,Hay Komari-120,حي كوماري م(5-الطوز)محلة 120,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,34.89631116,44.62618562,8090,0.307540173,2488,36
25868,Tooz Khurmato,Hay Rizgari-114,حي رزكاري م(5-الطوز)محلة 114,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,34.88670149,44.64114867,8090,0.152163164,1231,18
21103,Tooz Khurmato,Yangija Village,قرية ينكجة,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,34.856383,44.57192083,8090,0.020889988,169,18
25750,Tooz Khurmato,Markaz Tooz-Hay Brayati,محلة برايتي,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,34.90508251,44.60920615,8090,0.026081582,211,12
27234,Tooz Khurmato,Hay Al-Askary,حي العسكري,Ameraly,Tooz Khurmato,Salah Al-Din,34.726584,44.584608,8090,0.010506799,85,6
20529,Tooz Khurmato,Sulayman Beg sub district center,مركز ناحية سليمان بيك,Sulaiman Baig,Tooz Khurmato,Salah Al-Din,34.795151,44.66947464,8090,0.183559951,1485,36
228,Heet,Hay al Jury,الجري,Markaz Heet,Heet,Al-Anbar,33.63721071,42.82162651,29284,0.056310613,1649,12
41,Heet,Jubbah,جبة ,Al-Baghdady,Heet,Al-Anbar,33.91242953,42.54682166,29284,0.010107909,296,6
33953,Heet,zawiat alwustaa,زوية الوسطى,Al-Forat,Heet,Al-Anbar,33.54309,42.95544,29284,0.024006283,703,6
23793,Al-Kaim,Hay Al Askary,حي العسكري,Al-Karabla,Al-Kaim,Al-Anbar,34.38879287,41.02220244,15084,0.016242376,245,6
23791,Al-Kaim,Al Nahda Al-Sharqiyah,حي النهضة الشرقية,Al-Karabla,Al-Kaim,Al-Anbar,34.36827894,41.05775748,15084,0.030429594,459,6
262,Ana,Hay Al Shoba,حي الشعبة,Rawa,Ana,Al-Anbar,34.4669276,41.91685003,4842,0.052457662,254,6
264,Ana,Al Qaala,حي القلعة,Rawa,Ana,Al-Anbar,34.46461943,41.91457925,4842,0.059479554,288,6
23861,Ana,Al-Hidayah,حي الهداية,Rawa,Ana,Al-Anbar,34.47546565,41.91346345,4842,0.048946716,237,6
23859,Ana,Hay Raua Al-Jadida,حي راوة جديدة,Rawa,Ana,Al-Anbar,34.48404974,41.92361128,4842,0.086741016,420,12
200,Ana,Al Askaree,حي العسكري,Rawa,Ana,Al-Anbar,34.48408734,41.91709448,4842,0.044816192,217,6
29579,Al-Ramadi,Al Dhubat 2,الضباط الثانية ,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.41296,43.31088873,97225,0.023594754,2294,6
133,Al-Ramadi,Al Aadil,العادل,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.41405,43.30632536,97225,0.013792749,1341,6
29561,Al-Ramadi,Hay 8 Shbbat,حي 8 شباط,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.42211,43.26091605,97225,0.013535613,1316,6
20939,Al-Ramadi,Al-Hamidhiyah,الحامضية,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.46526459,43.39814799,97225,0.012177938,1184,6
297,Al-Ramadi,Al-Thilah,الثيلة,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.43294,43.30570778,97225,0.020509128,1994,6
25650,Al-Ramadi,Al Askari,العسكري,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.411586,43.24644923,97225,0.017505786,1702,6
29534,Al-Ramadi,Al Shuhadaa Qtr,الشهداء,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.43179,43.28417617,97225,0.016466958,1601,6
204,Al-Ramadi,Hay 30 Tamooz,حي 30 تموز,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.41583,43.26891633,97225,0.018534328,1802,6
23891,Al-Ramadi,Al-Ankor,العنكور,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.374498,42.84705,97225,0.009719722,945,6
33832,Al-Ramadi,AL-mlahma,الملاحمه,Al-Habbaniya,Al-Ramadi,Al-Anbar,33.2554,43.3336,97225,0.013967601,1358,6
113,Al-Ramadi,Husaibah Al-Sharqiah,حصيبة الشرقية ,Al-Habbaniya,Al-Ramadi,Al-Anbar,33.40776951,43.46977318,97225,0.019346876,1881,6
156,Al-Kaim,Wazeeriya,حي الوزيرية,Al-Karabla,Al-Kaim,Al-Anbar,34.38141702,41.03964076,15084,0.034009547,513,18
21086,Al-Ramadi,Albu-Ali Aljasim,البو علي الجاسم ,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.496578,43.202315,97225,0.018256621,1775,6
23023,Al-Ramadi,Hay Al Malab,الملعب,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.42225,43.32127857,97225,0.020642839,2007,6
34016,Al-Ramadi,Hay Al-Aramel,حي الارامل,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.411358,43.316322,97225,0.012342504,1200,6
29475,Al-Ramadi,Zankura,زنكورة,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.48032,43.15559563,97225,0.056662381,5509,6
25441,Al-Ramadi,Al Soora,السورة,Markaz Al-Ramadi,Al-Ramadi,Al-Anbar,33.4351026,43.35608898,97225,0.016806377,1634,6
33302,Al-Kadhmiyah,Al Sheiti village,قرية الشيتي,Abu Ghraib,Al-Kadhmiyah,Baghdad,33.2308678,43.99213406,4945,0.012335693,61,6
32034,Al-Mahmoudiya,Al Kamazan village,قرية الكمزان,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.193248,43.95562407,8676,0.011641309,101,6
29532,Al-Mahmoudiya,Al Shanadka village,قرية الشنادخة,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.2182782,43.95334515,8676,0.013600738,118,6
31710,Al-Kadhmiyah,Al Zaidan-Al Sadan village,الزيدان-قرية السعدان,Abu Ghraib,Al-Kadhmiyah,Baghdad,33.270892,44.02497791,4945,0.052578362,260,6
32036,Al-Kadhmiyah,Al Masara village,قرية المسارة ,Abu Ghraib,Al-Kadhmiyah,Baghdad,33.234015,43.94204218,4945,0.027300303,135,6
22541,Al-Kadhmiyah,Sabea Al Buor-12000,سبع البور-12000,Al-Taji,Al-Kadhmiyah,Baghdad,33.46077706,44.1704438,4945,0.036400404,180,6
25168,Al-Kadhmiyah,Sabea Al Buor-14000,سبع البور-14000,Al-Taji,Al-Kadhmiyah,Baghdad,33.47013978,44.16611772,4945,0.06289181,311,6
21477,Ana,Al Zalla,قرية الزلة,Rawa,Ana,Al-Anbar,34.42124214,41.45726616,4842,0.04708798,228,6
25163,Al-Kadhmiyah,Sabea Al Buor-7000,سبع البور-7000,Al-Taji,Al-Kadhmiyah,Baghdad,33.45078626,44.15594608,4945,0.035389282,175,6
22611,Al-Kadhmiyah,Sabea Al Buor-13000,سبع البور-13000,Al-Taji,Al-Kadhmiyah,Baghdad,33.4650575,44.16816971,4945,0.01536906,76,6
25164,Al-Kadhmiyah,Sabea Al Buor-8000,سبع البور-8000,Al-Taji,Al-Kadhmiyah,Baghdad,33.45256226,44.15676736,4945,0.048129424,238,12
32101,Al-Mahmoudiya,Al Rasool village-(Al Jomblatiya Southern),قرية الرسول-الجمبلاطية الجنوبية ,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.039284,44.1414635,8676,0.021899493,190,6
29525,Al-Mahmoudiya,Al Bu Hasson(Al kragolyia),البو حسون(الكرغولية),Al-Yousifya,Al-Mahmoudiya,Baghdad,33.03975376,44.18885772,8676,0.005647764,49,6
33175,Al-Kaim,Tiwaan,تيوان,Al-Karabla,Al-Kaim,Al-Anbar,34.2259007,41.34168435,15084,0.010540971,159,6
33105,Al-Mussyab,Al Moammen Billah-(Al Jomblatiya Southern),قرية المؤمن بالله-الجمبلاطية الجنوبية,Jurf Al-Sakhar,Al-Mussyab,Babil,33.028697,44.13960158,770,0.383116883,295,34
29523,Al-Mahmoudiya,Hay Al Shuhada(Al kragolyia),حي الشهداء(الكرغولية),Al-Yousifya,Al-Mahmoudiya,Baghdad,33.06663345,44.23348447,8676,0.121023513,1050,6
7682,Al-Mahmoudiya,Albo Awasj village,قرية البو عوسج,Al-Latifya,Al-Mahmoudiya,Baghdad,33.038574,44.32982286,8676,0.070885201,615,24
33109,Al-Mussyab,Al Motokal village-(Al Jomblatiya Northern),قرية المتوكل-الجمبلاطية الشمالية,Jurf Al-Sakhar,Al-Mussyab,Babil,33.02298,44.126467,770,0.227272727,175,10
33183,Al-Mahmoudiya,Al Rasheediya Village,#N/A,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.108393,44.16043303,8676,0.034578147,300,6
33107,Al-Mahmoudiya,Al Imam Ali village-(Al Jomblatiya Southern),قرية الامام علي-الجمبلاطية الجنوبية,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.030745,44.1777793,8676,0.023052098,200,6
33225,Al-Mahmoudiya,Albu Moufarrej Village,قرية البو مفرج,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.075557,44.14815561,8676,0.040341171,350,6
7685,Al-Mahmoudiya,shaka-4,شاخة-4,Al-Latifya,Al-Mahmoudiya,Baghdad,32.9756,44.42205175,8676,0.012217612,106,6
29528,Al-Mahmoudiya,Hay Al Dobat(Al kragolyia),حي الضباط(الكرغولية),Al-Yousifya,Al-Mahmoudiya,Baghdad,33.050911,44.20509358,8676,0.024204703,210,6
22382,Al-Mahmoudiya,Al Muaghith village-(Al Jomblatiya Southern),قرية المغيث-الجمبلاطية الجنوبية,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.03975373,44.16086072,8676,0.024204703,210,6
33110,Al-Mussyab,Al Abraar village-(Al Jomblatiya Northern),قرية الابرار-الجمبلاطية الشمالية,Jurf Al-Sakhar,Al-Mussyab,Babil,33.025292,44.13709516,770,0.38961039,300,28
7350,Al-Mahmoudiya,Al Mustafa village-(Al Jomblatiya Southern),قرية المصطفى-الجمبلاطية الجنوبية,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.02912141,44.17154806,8676,0.046104195,400,6
33104,Al-Mahmoudiya,Al Azez Al Ghaffar-(Al Jomblatiya Southern),قرية العزيز الغفار-الجمبلاطية الجنوبية,Al-Yousifya,Al-Mahmoudiya,Baghdad,33.03348,44.16272303,8676,0.013831259,120,6
33458,Al-Kadhmiyah,14 Abar village 5,قرية5-14 ابار,Al-Taji,Al-Kadhmiyah,Baghdad,33.59278,44.17550949,4945,0.0190091,94,6
33469,Al-Kadhmiyah,14 Abar villge 7,قرية 7-14 ابار,Al-Tarmiya,Al-Kadhmiyah,Baghdad,33.639982,44.15827469,4945,0.015773509,78,6
33478,Al-Kadhmiyah,13 Al Dhabat-Al Harat village,الضبات13-قرية الحرات,Al-Tarmiya,Al-Kadhmiyah,Baghdad,33.648361,44.23412776,4945,0.017391304,86,6
33764,Al-Kadhmiyah,Asmail Mohammed village,قرية اسماعيل محمد,Al-Tarmiya,Al-Kadhmiyah,Baghdad,33.674171,44.14263,4945,0.006673407,33,12
33511,Al-Kadhmiyah,13 Al Dhabat-Albo Abdo village,الضبات13-قرية البوعبدو,Al-Tarmiya,Al-Kadhmiyah,Baghdad,33.68781,44.24027125,4945,0.018402427,91,12
23620,Zakho,Fishkhaboor,فيشخابور,NA,Zakho,Duhok,37.06728813,42.37686231,1304,0.098159509,128,10
26074,Al-Khalis,Arab Hafeedh Village,قرية عرب حفيظ,Al-Mansouriyah,Al-Khalis,Diyala,34.12586517,44.84068814,13435,0.010048381,135,6
25676,Al-Khalis,Al Mansouriyah-Hamada Village,المنصورية-قرية حماده,Al-Mansouriyah,Al-Khalis,Diyala,34.03136641,44.86764431,13435,0.011164868,150,6
231,Al-Rutba,Al Wadi,حي الوادي,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.03966421,40.28365262,4588,0.074978204,344,18
25669,Al-Khalis,Somair village,قرية أسمير,Al-Mansouriyah,Al-Khalis,Diyala,34.05691902,44.88435256,13435,0.014886491,200,6
233,Al-Rutba,Hay Al-Matar,حي المطار,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.03461084,40.28668013,4588,0.151918047,697,18
11270,Al-Khalis,Um al Hawali village,قرية ام الحوالي,Al-Atheem,Al-Khalis,Diyala,34.36468541,44.60197001,13435,0.009378489,126,12
165,Al-Rutba,Al Askaree,حي العسكري,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.03800189,40.30263444,4588,0.055797733,256,6
26058,Al-Khalis,Dalli Abass-Al-Shuhada Qtr,دلي عباس-حي الشهداء,Al-Mansouriyah,Al-Khalis,Diyala,34.0676524,44.86550222,13435,0.020171195,271,6
23935,Al-Rutba,Al-Daraemah Village,قرية الدراعمة,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.04302668,40.38038346,4588,0.091543156,420,18
150,Al-Rutba,Al Haara,حي الحارة,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.03761591,40.28426443,4588,0.120967742,555,18
26075,Al-Khalis,Al Dwaleeb Village,قرية الدواليب,Al-Mansouriyah,Al-Khalis,Diyala,34.073537,44.9056642,13435,0.014886491,200,6
25682,Al-Khalis,Mohammed Ali Village,قرية محمد العلي,Al-Mansouriyah,Al-Khalis,Diyala,34.04549809,44.88159198,13435,0.018608113,250,6
28463,Al-Khalis,Al Taleaa Al Olaa Village(Albo Rai),قرية الطالعة الاولى(البو ري),Al-Atheem,Al-Khalis,Diyala,34.25685398,44.52603643,13435,0.006698921,90,6
25655,Al-Khalis,Dalli Abass-Al Moalmeen Qtr,دلي عباس-حي المعلمين,Al-Mansouriyah,Al-Khalis,Diyala,34.07072389,44.8704787,13435,0.022701898,305,6
25678,Al-Khalis,Dawod Al-Salom village,قرية داوود السلوم,Al-Mansouriyah,Al-Khalis,Diyala,34.12548903,44.84410846,13435,0.012206922,164,6
167,Al-Rutba,Antesar,حي الانتصار,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.03126564,40.29901479,4588,0.214908457,986,12
25672,Al-Khalis,Habib Al Khaizaran Village,قرية حبيب الخيزران,Al-Mansouriyah,Al-Khalis,Diyala,34.121222,44.7696088,13435,0.017863789,240,6
25677,Al-Khalis,Hamza Al Najim Village,قرية حمزة النجم,Al-Mansouriyah,Al-Khalis,Diyala,34.03901602,44.88332927,13435,0.009452921,127,6
25653,Al-Khalis,Dalli Abass-Al Shekh Hassan Qtr,دلي عباس-حي الشيخ حسن,Al-Mansouriyah,Al-Khalis,Diyala,34.07723021,44.85503516,13435,0.019501303,262,6
23888,Al-Rutba,Gharb Al-Wadi,حي غرب الوادي,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.04245523,40.27803907,4588,0.163687881,751,36
166,Al-Rutba,Hay Al Meethagh,حي الميثاق,Markaz Al-Rutba,Al-Rutba,Al-Anbar,33.03197354,40.29047217,4588,0.10440279,479,18
25673,Al-Khalis,Habib Al Abdulla Village,قرية حبيب العبدالله,Al-Mansouriyah,Al-Khalis,Diyala,34.05390233,44.89234693,13435,0.040863416,549,6
26115,Al-Muqdadiya,Shak Al Rak Village,قرية شاق الراق,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.00157426,44.93296834,8310,0.106859206,888,6
10948,Al-Muqdadiya,Abo Garma village,قرية ابو كرمة,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,33.9061689,44.7245533,8310,0.006257521,52,6
11179,Al-Muqdadiya,Baloor Village,قرية بلور,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,33.983383,44.93435119,8310,0.04211793,350,6
25805,Al-Muqdadiya,Al Somood Qtr,حي الصمود,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,33.9845665,44.94206147,8310,0.019253911,160,6
109,Ana,Yarmouk,حي اليرموك,Markaz Ana,Ana,Al-Anbar,34.37483517,41.98761025,4842,0.060512185,293,18
25804,Al-Muqdadiya,Al Mataar Qtr,حي المطار,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,33.98943701,44.94954431,8310,0.045728039,380,6
25948,Al-Muqdadiya,Nofal village,قرية نوفل,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.04846,44.98260388,8310,0.059927798,498,12
11355,Al-Muqdadiya,AlTaiha Qtr,قرية التايهة,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.03141312,44.94531097,8310,0.037545126,312,6
11440,Al-Muqdadiya,Al Qalaa Village,قرية القلعة,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.01496421,44.95912841,8310,0.057160048,475,18
253,Ana,Hay Al Salam,حي السلام,Markaz Ana,Ana,Al-Anbar,34.37150561,41.96978858,4842,0.03944651,191,6
25668,Al-Muqdadiya,Al Wazan Village,قرية الوزان,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.03579,44.98436486,8310,0.009867629,82,6
26027,Al-Muqdadiya,Al Shamamla Village,قرية الشماملة,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.03534645,44.97409758,8310,0.007581227,63,6
25657,Al-Muqdadiya,Abu musa village,قرية ابو موسى,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.00539076,44.87856992,8310,0.024669073,205,6
26030,Al-Muqdadiya,A Hammadi Village,قرية الحمادي,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.03099698,44.94846175,8310,0.020336943,169,6
11442,Al-Muqdadiya,Al Isaiwed Village,قرية الاسيود,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.052564,44.93185543,8310,0.046931408,390,6
11312,Al-Khalis,Al Sodoor,الصدور,Al-Mansouriyah,Al-Khalis,Diyala,34.05853,44.98047661,13435,0.009080759,122,6
25674,Al-Muqdadiya,Haj fadhil village,قرية حاج فاضل,Markaz Al-Muqdadiya,Al-Muqdadiya,Diyala,34.00214397,44.87807495,8310,0.003489771,29,6
31762,Khanaqin,Al Shuhada Qtr Sector 6,حي الشهداء قطاع 6,Jalawla,Khanaqin,Diyala,34.276111,45.18129168,16316,0.029112528,475,6
23799,Ana,Hay Al ZeraI,حي الزراعي,Markaz Ana,Ana,Al-Anbar,34.3731532,41.99516882,4842,0.034283354,166,6
31753,Khanaqin,Al Jamahir Qtr Sector 2,حي الجماهير قطاع 2,Jalawla,Khanaqin,Diyala,34.273056,45.1729482,16316,0.021451336,350,6
31749,Khanaqin,Al Oroba Qtr Sector 3,حي العروبة قطاع 3,Jalawla,Khanaqin,Diyala,34.277222,45.16607575,16316,0.012257906,200,6
248,Ana,Al bor (Shishan),حي العبور,Markaz Ana,Ana,Al-Anbar,34.36678805,41.97078314,4842,0.038000826,184,6
31768,Khanaqin,Al Nakheel Village,قرية النخيل,Jalawla,Khanaqin,Diyala,34.22881,45.23201366,16316,0.001899975,31,6
33585,Khanaqin,Al Taleaa 2 Qtr ( Al Kelya ),حي الطليعة 2 (الكلية),Jalawla,Khanaqin,Diyala,34.2685293,45.15987901,16316,0.018080412,295,6
249,Ana,Hay Al Tammem,حي التأميم,Markaz Ana,Ana,Al-Anbar,34.36837802,41.9956273,4842,0.050805452,246,6
32021,Khanaqin,Al Asakraa village,قرية العساكرة,Al-Saadiya,Khanaqin,Diyala,34.170099,45.13241116,16316,0.019919098,325,6
31761,Khanaqin,Al Shuhada Qtr Sector 5,حي الشهداء قطاع 5,Jalawla,Khanaqin,Diyala,34.275,45.17077837,16316,0.026048051,425,12
31765,Khanaqin,Al Wehdaa Qtr Sector 4,حي الوحدة قطاع 4,Jalawla,Khanaqin,Diyala,34.264444,45.16167063,16316,0.019919098,325,12
29570,Khanaqin,Al Shuhada Qtr Sector 1,حي الشهداء قطاع 1,Jalawla,Khanaqin,Diyala,34.2794886,45.1692345,16316,0.01838686,300,6
31754,Khanaqin,Al Jamahir Qtr Sector 3,حي الجماهير قطاع 3,Jalawla,Khanaqin,Diyala,34.269722,45.16507486,16316,0.021757784,355,6
29630,Khanaqin,Murjana village,قرية مرجانة,Jalawla,Khanaqin,Diyala,34.22486159,45.1309697,16316,0.020838441,340,6
251,Ana,Hay Al Qadissiyah,حي القادسية,Markaz Ana,Ana,Al-Anbar,34.37749089,41.98322262,4842,0.042750929,207,6
31752,Khanaqin,Al Taleaa Qtr ( sector 5 ),حي الطليعة ( قطاع 5 ),Jalawla,Khanaqin,Diyala,34.284167,45.16278004,16316,0.025128708,410,6
252,Ana,Al Tadamon,حي التضامن,Markaz Ana,Ana,Al-Anbar,34.36428013,41.98402787,4842,0.050185874,243,6
29564,Khanaqin,Al Taleaa Qtr ( sector 2 ),حي الطليعة ( قطاع 2 ),Jalawla,Khanaqin,Diyala,34.27881447,45.16276296,16316,0.023167443,378,6
31764,Khanaqin,Al Wehdaa Qtr Sector 3,حي الوحدة قطاع 3,Jalawla,Khanaqin,Diyala,34.266667,45.16324737,16316,0.016854621,275,6
13500,Makhmour,Bndiyan,بنديان,Markaz Makhmour,Makhmour,Erbil,35.77626707,43.5870458,7725,0.020711974,160,6
13352,Makhmour,Gwer,كوير,Gwyer,Makhmour,Erbil,36.043816,43.4990613,7725,0.28815534,2226,24
13675,Makhmour,Sherwany,شيرواني,Markaz Makhmour,Makhmour,Erbil,35.77564291,43.58422753,7725,0.084142395,650,18
12461,Makhmour,Jarallah,جار الله,Markaz Makhmour,Makhmour,Erbil,35.8325667,43.4369287,7725,0.015145631,117,12
13674,Makhmour,Shahidan,شهيدان,Markaz Makhmour,Makhmour,Erbil,35.78075589,43.585956,7725,0.062135922,480,6
22976,Makhmour,Qalat,قلات,Markaz Makhmour,Makhmour,Erbil,35.77731268,43.57280953,7725,0.034951456,270,6
169,Al-Falluja,Al Shurta,حي الشرطة,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.36389707,43.79818309,94177,0.03117534,2936,12
13516,Makhmour,Qabr Alsyd,قبر السيد,Qaraj,Makhmour,Erbil,35.568,43.6444,7725,0.008414239,65,6
33846,Makhmour,Darmenawa,درميناوه,Gwyer,Makhmour,Erbil,36.0040269,43.5509151,7725,0.005307443,41,6
12512,Makhmour,Gardahara,كردهاره,Qaraj,Makhmour,Erbil,35.5761,43.552,7725,0.008414239,65,24
13501,Makhmour,Kurdistan,كوردستان ,Markaz Makhmour,Makhmour,Erbil,35.76717577,43.5762378,7725,0.038834951,300,12
15006,Al-Hawiga,Al-Abasiyah Village,قرية العباسية,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.33141,43.71230831,25562,0.003168766,81,6
15594,Al-Hawiga,Al Askary,حي العسكري,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.32528,43.76544898,25562,0.032861278,840,12
21321,Al-Falluja,Al Daffar,الدفار,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.260627,43.85072524,94177,0.010618304,1000,12
33287,Al-Hawiga,Tall AL-Dhahab ( As-Sufla ) village,قرية تل الذهب ( سفلى ),Al-Abbasi,Al-Hawiga,Kirkuk,35.11281,43.51535725,25562,0.008528284,218,12
15275,Al-Hawiga,Al-Abassy center,مركز العباسي,Al-Abbasi,Al-Hawiga,Kirkuk,35.27574041,43.59564652,25562,0.059189422,1513,6
15250,Al-Hawiga,Al-Namalah village,قرية نملة,Al-Abbasi,Al-Hawiga,Kirkuk,35.3083,43.59333063,25562,0.012479462,319,6
33780,Al-Falluja,Al-Bijara,البجارة,Al-Garma,Al-Falluja,Al-Anbar,33.42847,43.78972,94177,0.001168013,110,6
15191,Al-Hawiga,Al-zab,مركز ناحية الزاب,Al-Zab,Al-Hawiga,Kirkuk,35.26433,43.44756129,25562,0.059424145,1519,6
33576,Al-Hawiga,Al-Farouk Village,قرية الفاروق,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.31889,43.79555173,25562,0.003520851,90,6
15242,Al-Hawiga,Al-Jubooria Village,قرية الجبورية,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.30301,43.70182472,25562,0.009271575,237,6
24362,Al-Hawiga,Shamitt Village,قرية شميط,Al-Zab,Al-Hawiga,Kirkuk,35.2977,43.53004521,25562,0.061028089,1560,6
14555,Beygee,Shajara village,قرية الشجرة,Makkhoul,Beygee,Salah Al-Din,35.21525,43.41271795,22815,0.028972167,661,6
33291,Al-Hawiga,Al-Salhaiyah village,قرية الصالحية,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.370423,43.8904098,25562,0.003755575,96,6
15264,Al-Hawiga,Bakara Village,قرية البكارة,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.32208,43.79404764,25562,0.011736171,300,6
287,Al-Kaim,Hay Al-Makarim,حي المكارم,Al-Karabla,Al-Kaim,Al-Anbar,34.38437722,41.02395861,15084,0.019557147,295,6
15416,Al-Hawiga,Hilwa middle,قرية حلوة وسطى,Al-Zab,Al-Hawiga,Kirkuk,35.472569,43.76065514,25562,0.02675847,684,6
15368,Al-Hawiga,Al-Mansuriyah ( Al-Abazz) village,قرية منصورية ( عبز ),Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.402174,43.88121962,25562,0.004225022,108,6
176,Al-Falluja,Al-andalus,حي الأندلس,Markaz Al-Falluja,Al-Falluja,Al-Anbar,33.34833448,43.76295925,94177,0.029402083,2769,6
15271,Beygee,Sobieh village,قرية صبيح,Makkhoul,Beygee,Salah Al-Din,35.3099,43.36912437,22815,0.01884725,430,6
15614,Al-Hawiga,8 Shabahit,حي 8 شباط,Markaz Al-Hawiga,Al-Hawiga,Kirkuk,35.32708,43.78052,25562,0.006415773,164,6
