type,name,label::English,label::Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,,,,,,,,,,,
select_one district_mcna,district_mcna,Which district do you currently live in?,ماهو رمز هذا الموقع ( استخرجه من الخريطة),"If the district cannot be found on the list, the household is not eligible for the MCNA","اذا لم تجد اسم القضاء في اللائحة، فهذا يعني بأن الاسرة ليست مؤهلة للمقابلة في هذا الاستبيان",true,,filter=${governorate_mcna_r},,,,,,,,,,,,,,,,,
select_one yes_no,hhh_r,6. Are you the head of household?,هل انت رب الاسرة؟,"A household is a group of people who regularly share meals, income, and expenditures together. Members must acknowledge the authority of one person as head of household and that person must actually live with the rest of the household members. In polygamous households, each wife is treated as a distinct household when the wives live in different houses, cook separately and take decisions independently.","االأسرة عبارة عن مجموعة من الأشخاص الذين يشاركون بانتظام وجبات الطعام والدخل والنفقات معًا. يجب أن يقر الأعضاء بسلطة شخص واحد بصفته رب الأسرة ويجب أن يعيش هذا الشخص بالفعل مع بقية أفراد الأسرة. في الأسر متعددة الزوجات ، تعامل كل زوجة على أنها أسرة متميزة عندما تعيش الزوجات في منازل مختلفة ، وتطبخ بشكل منفصل وتتخذ القرارات بشكل مستقل.",true,,,,,,,,,,,,,,,,,,,
select_one yes_no,will_to_response_r,"6.1 If no, are you willing and able to respond to the questions on behalf of the household?","اذا كلا, هل انت قادر و مستعد للاجابة على الاسئلة بالنيابة عنه؟",,,true,"selected(${hhh_r}, 'no')",,.='yes',End survey if the person is not willing respond on behalf or his/her household,الرجاء انهاء الاستبيان اذا كان المجيب لا يريد التكلم,,,,,,,,,,,,,,
integer,age_respondent_r,7. What is your age?,عمر المجيب,,,true,,,.> 17 and .< 120,Age cannot be below 18 and above 120,لا يمكن ان يكون العمر تحت سن ال18 وفوق ال120 سنة,,,,,,,,,,,,,,
select_one sex,gender_respondent_r,8. Respondent's sex,جنس المجيب,,,true,,,,,,,,,,,,,,,,,,,
end_group,remote,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,in_person,In Person Interview,,,,,"selected(${dc_method}, 'in_person')",,,,,,,,,,,,,,,,,,
select_one governorate_mcna,governorate_mcna,3. Current Governorate,المحافظة الحالية,To be filled in by enumerator,يتم ادخالها من قبل الموظف,true,,,,,,,,,,,,,,,,,,,
select_one cluster,cluster_location_id,4. What is the ID number of your Location?,ماهو رمز هذا الموقع ( استخرجه من الخريطة),To be filled in by enumerator,يتم ادخالها من قبل الموظف,true,,filter=${governorate_mcna},,,,,,,,,,,,,,,,,
select_one yes_no,consent,"5. Hello, my name is __ and I work for REACH initiative. We are conducting interviews in order to inform the humanitarian response in Iraq. This interview will take around 40 minutes,  and your answers will remain anonymous and you are free to withdraw at any moment during the survey. The information you provide us will be used in reports and factsheets and shared with humanitarian decision-makers in Iraq. Do you agree to participate?","مرحبا , انا اسمي __ وانا اعمل لدى مبادرة REACH. نحن نجري المقابلات من أجل الابلاغ والحصول على الاستجابة الإنسانية في العراق. وهذه المقابلة تستغرق حوالي 40 دقيقة. وستبقى إجاباتك سرية. لك الحق في التوقف عن الاجابة في اي لحظة من الاستبيان.سيتم استخدام المعلومات التي تزودنا بها في التقارير وأوراق الحقائق وسيتم مشاركتها مع صناع القرار الإنساني في العراق. هل توافق على المشاركة؟ هل توافق على المشاركة؟",,"اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى",true,,,.='yes',End survey if the person is not willing to participate,الرجاء انهاء الاستبيان اذا كان المجيب لا يريد التكلم,,,,,,,,,,,,,,
select_one yes_no,hhh,6. Are you the head of household?,هل انت رب الاسرة؟,"A household is a group of people who regularly share meals, income, and expenditures together. Members must acknowledge the authority of one person as head of household and that person must actually live with the rest of the household members. In polygamous households, each wife is treated as a distinct household when the wives live in different houses, cook separately and take decisions independently.","االأسرة عبارة عن مجموعة من الأشخاص الذين يشاركون بانتظام وجبات الطعام والدخل والنفقات معًا. يجب أن يقر الأعضاء بسلطة شخص واحد بصفته رب الأسرة ويجب أن يعيش هذا الشخص بالفعل مع بقية أفراد الأسرة. في الأسر متعددة الزوجات ، تعامل كل زوجة على أنها أسرة متميزة عندما تعيش الزوجات في منازل مختلفة ، وتطبخ بشكل منفصل وتتخذ القرارات بشكل مستقل.",true,,,,,,,,,,,,,,,,,,,
select_one yes_no,will_to_response,"6.1 If no, are you willing and able to respond to the questions on behalf of the household?","اذا كلا, هل انت قادر و مستعد للاجابة على الاسئلة بالنيابة عنه؟",,"اذا كلا، الرجاء انهاء المقابلة  والانتقال الى اسرة اخرى",true,"selected(${hhh}, 'no')",,.='yes',End survey if the person is not willing respond on behalf or his/her household,الرجاء انهاء الاستبيان اذا كان المجيب لا يريد التكلم,,,,,,,,,,,,,,
integer,age_respondent,7. What is your age?,عمر المجيب,,,true,,,.> 17 and .< 120,Age cannot be below 18 and above 120,لا يمكن ان يكون العمر تحت سن ال18 وفوق ال120 سنة,,,,,,,,,,,,,,
select_one sex,gender_respondent,8. Respondent's sex,جنس المجيب,,,true,,,,,,,,,,,,,,,,,,,
end_group,in_person,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,displacement_profile,Displacement Profile,,,,,"selected(${consent_remote}, 'yes') or selected(${consent}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yes_no,displace_status,9. Was your household living in this location prior to January 2014?,هل كانت اسرتك تعيش في هذا الموقع قبل كانون الثاني 2014؟,,,true,,,,,,,,,,,,,,,,,,,
select_one yes_no,displace_status_returnee,10. Have you been displaced from this location since January 2014?,هل كنت نازحاً من هذا الموقع منذ كانون الثاني 2014؟,,,true,"selected(${displace_status}, 'yes')",,,,,,,,,,,,,,,,,,
note,note_returnee,This household is a returnee household.,هذه الاسرة عائدة,,,,"selected(${displace_status_returnee}, 'yes') and selected(${displace_status}, 'yes')",,,,,,,,,,,,,,,,,,
note,note_host,This household is part of the host community.,هذه الاسرة من المجتمع المضيف,,,,"selected(${displace_status_returnee}, 'no') and selected(${displace_status}, 'yes')",,,,,,,,,,,,,,,,,,
select_one yes_no,displace_status_idp,11. Did you move to this location because of the conflict?,هل انتقلتَ الى هذا الموقع بسبب الصراع؟,,,true,"selected(${displace_status}, 'no')",,,,,,,,,,,,,,,,,,
note,note_idp,This household is an IDP household.,هذه الاسرة هي اسرة نازحة,,,,"selected(${displace_status_idp}, 'yes') and selected(${displace_status}, 'no')",,,,,,,,,,,,,,,,,,
note,note_inelegible,This household is not eligible for the MCNA - please end the survey and find an eligible household in the targeted category. *Please cancel this form and move to the next household.*,هذه الاسرة غير مؤهلة للاستبيان. الرجاء انهاء الاستبيان والبحث عن اسرة اخرى ضمن الشروط المطلوبة,,,,"selected(${displace_status}, 'no') and selected(${displace_status_idp}, 'no') or selected(${displace_status_returnee}, 'no') and selected(${displace_status}, 'yes')",,,,,,,,,,,,,,,,,,
note,note_idp_ineligible,IDP households living in this district will not be assessed through the MCNA. Please end the survey and continue calling other households from the list.,لن يتم تقييم الاسر النازحة التي تعيش في هذا القضاء خلال هذا الاستبيان.يرجى انهاء الاستبيان واكمال الاتصال بأسرة اخرى من اللائحة,,,,"selected(${displace_status_idp}, 'yes') and selected(${displace_status}, 'no') and (selected(${district_mcna}, 'al.kaim') or selected(${district_mcna}, 'ana') or selected(${district_mcna}, 'haditha') or selected(${district_mcna}, 'al.muqdadiya') or selected(${district_mcna}, 'makhmour') or selected(${district_mcna}, 'al.hindiya') or selected(${district_mcna}, 'al.hawiga') or selected(${district_mcna}, 'al.shirqat') or selected(${district_mcna}, 'al.daur') or selected(${district_mcna}, 'beygee'))",,,,,,,,,,,,,,,,,,
note,note_returnee_inelegible,Returnee households living in this district will not be assessed through the MCNA. Please end the survey and continue calling other households from the list.,لن يتم تقييم الاسر العائدة التي تعيش في هذا القضاء خلال هذا الاستبيان.يرجى انهاء الاستبيان واكمال الاتصال بأسرة اخرى من اللائحة,,,,"selected(${displace_status_returnee}, 'yes') and selected(${displace_status}, 'yes') and (selected(${district_mcna}, 'al.basrah') or selected(${district_mcna}, 'al.kufa') or selected(${district_mcna}, 'al.najaf') or selected(${district_mcna}, 'al.diwaniya') or selected(${district_mcna}, 'al.sulaymaniyah') or selected(${district_mcna}, 'chamchamal') or selected(${district_mcna}, 'derbendikhan') or selected(${district_mcna}, 'dokan') or selected(${district_mcna}, 'halabcha') or selected(${district_mcna}, 'kalar') or selected(${district_mcna}, 'rania') or selected(${district_mcna}, 'al.adhamiya') or selected(${district_mcna}, 'al.karkh') or selected(${district_mcna}, 'baquba') or selected(${district_mcna}, 'kifri') or selected(${district_mcna}, 'al.amadiya') or selected(${district_mcna}, 'duhok') or selected(${district_mcna}, 'sumail') or selected(${district_mcna}, 'erbil') or selected(${district_mcna}, 'koysinjaq') or selected(${district_mcna}, 'rawanduz') or selected(${district_mcna}, 'shaqlawa') or selected(${district_mcna}, 'al.hindiya') or selected(${district_mcna}, 'kerbela') or selected(${district_mcna}, 'al.kahla') or selected(${district_mcna}, 'aqra') or selected(${district_mcna}, 'al.nasiriya') or selected(${district_mcna}, 'al.kut'))",,,,,,,,,,,,,,,,,,
calculate,calc_idp,,,,,,,,,,,"if(selected(${displace_status_idp}, 'yes') and selected(${displace_status}, 'no'),1,0)",,,,,,,,,,,,,
calculate,calc_returnee,,,,,,,,,,,"if(selected(${displace_status_returnee}, 'yes') and selected(${displace_status}, 'yes'), 1,0)",,,,,,,,,,,,,
calculate,calc_host,,,,,,,,,,,"if(selected(${displace_status_returnee}, 'no') and selected(${displace_status}, 'yes'),1,0)",,,,,,,,,,,,,
calculate,calc_noteligible,,,,,,,,,,,"if(selected(${displace_status_idp}, 'no'), 1,0)",,,,,,,,,,,,,
end_group,displacement_profile,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,household_profile,Household Profile,تصنيفات الاسرة,,,,"selected(${displace_status_idp}, 'yes') and selected(${displace_status}, 'no') and not(selected(${district_mcna}, 'al.kaim') or selected(${district_mcna}, 'ana') or selected(${district_mcna}, 'haditha') or selected(${district_mcna}, 'al.muqdadiya') or selected(${district_mcna}, 'makhmour') or selected(${district_mcna}, 'al.hindiya') or selected(${district_mcna}, 'al.hawiga') or selected(${district_mcna}, 'al.shirqat') or selected(${district_mcna}, 'al.daur') or selected(${district_mcna}, 'beygee')) or selected(${displace_status_returnee}, 'yes') and selected(${displace_status}, 'yes') and not(selected(${district_mcna}, 'al.basrah') or selected(${district_mcna}, 'al.kufa') or selected(${district_mcna}, 'al.najaf') or selected(${district_mcna}, 'al.diwaniya') or selected(${district_mcna}, 'al.sulaymaniyah') or selected(${district_mcna}, 'chamchamal') or selected(${district_mcna}, 'derbendikhan') or selected(${district_mcna}, 'dokan') or selected(${district_mcna}, 'halabcha') or selected(${district_mcna}, 'kalar') or selected(${district_mcna}, 'rania') or selected(${district_mcna}, 'al.adhamiya') or selected(${district_mcna}, 'al.karkh') or selected(${district_mcna}, 'baquba') or selected(${district_mcna}, 'kifri') or selected(${district_mcna}, 'al.amadiya') or selected(${district_mcna}, 'duhok') or selected(${district_mcna}, 'sumail') or selected(${district_mcna}, 'erbil') or selected(${district_mcna}, 'koysinjaq') or selected(${district_mcna}, 'rawanduz') or selected(${district_mcna}, 'shaqlawa') or selected(${district_mcna}, 'al.hindiya') or selected(${district_mcna}, 'kerbela') or selected(${district_mcna}, 'al.kahla') or selected(${district_mcna}, 'aqra') or selected(${district_mcna}, 'al.nasiriya') or selected(${district_mcna}, 'al.kut'))",,,,,,,,,,,,,,,,,,
begin_group,eligible,Eligible household,اسرة مؤهلة,,,,"selected(${displace_status_idp}, 'yes') and selected(${displace_status}, 'no') and not(selected(${district_mcna}, 'al.kaim') or selected(${district_mcna}, 'ana') or selected(${district_mcna}, 'haditha') or selected(${district_mcna}, 'al.muqdadiya') or selected(${district_mcna}, 'makhmour') or selected(${district_mcna}, 'al.hindiya') or selected(${district_mcna}, 'al.hawiga') or selected(${district_mcna}, 'al.shirqat') or selected(${district_mcna}, 'al.daur') or selected(${district_mcna}, 'beygee')) or selected(${displace_status_returnee}, 'yes') and selected(${displace_status}, 'yes') and not(selected(${district_mcna}, 'al.basrah') or selected(${district_mcna}, 'al.kufa') or selected(${district_mcna}, 'al.najaf') or selected(${district_mcna}, 'al.diwaniya') or selected(${district_mcna}, 'al.sulaymaniyah') or selected(${district_mcna}, 'chamchamal') or selected(${district_mcna}, 'derbendikhan') or selected(${district_mcna}, 'dokan') or selected(${district_mcna}, 'halabcha') or selected(${district_mcna}, 'kalar') or selected(${district_mcna}, 'rania') or selected(${district_mcna}, 'al.adhamiya') or selected(${district_mcna}, 'al.karkh') or selected(${district_mcna}, 'baquba') or selected(${district_mcna}, 'kifri') or selected(${district_mcna}, 'al.amadiya') or selected(${district_mcna}, 'duhok') or selected(${district_mcna}, 'sumail') or selected(${district_mcna}, 'erbil') or selected(${district_mcna}, 'koysinjaq') or selected(${district_mcna}, 'rawanduz') or selected(${district_mcna}, 'shaqlawa') or selected(${district_mcna}, 'al.hindiya') or selected(${district_mcna}, 'kerbela') or selected(${district_mcna}, 'al.kahla') or selected(${district_mcna}, 'aqra') or selected(${district_mcna}, 'al.nasiriya') or selected(${district_mcna}, 'al.kut'))",,,,,,,,,,,,,,,,,,
date,return_date_returnee,12. When did you return to this location after your most recent incidence of displacement?,متى عدتَ الى هذا الموقع بعد آخر نزوح لك؟,,,true,${calc_returnee} = 1,,. <=today(),,,,month-year,,,,,,,,,,,,
integer,return_durationdisplace,13. For how many months were you displaced?,كم عدد الاشهر التي كنتَ فيها نازحاً؟,The answer has to be between 0 and 84 months,يجب ان يكون الجواب بين 0 و 84 شهرا,true,${calc_returnee} = 1,,.>=0 and .<=84,,,,,,,,,,,,,,,,
date,displace_date_idp,14. When were you initially displaced from your location?,منى نزحتَ من موقعك في البداية اول مرة؟,,,true,${calc_idp} = 1,,. <=today() and . >= date('2014-01-01'),Date cannot be before 01/01/2014,لا يمكن ان يكون التاريخ قبل 01/01/2014,,month-year,,,,,,,,,,,,
select_one yes_no,idp_first_place,15. Is this location your first place of displacement?,هل هذا المكان هو اول مكان للنزوح لك؟,Place of displacement should not include transit areas. Displacement implies settling down somewhere (in or out of camp).,لا تشمل مناطق النزوح اي اماكن مؤقتة ( للاستراحة مثلا). نتحدث هنا عن مكان تم الاستقرار فيه ( داخل او خارج المخيم),true,${calc_idp} = 1,,,,,,,,,,,,,,,,,,
date,arrival_date_idp,16. When did you arrive to this current location?,متى وصلت الى مكانك الحالي؟,,,true,${calc_idp} = 1,,. <=today() and .>=${displace_date_idp},,,,month-year,,,,,,,,,,,,
select_one governorate_mcna,governorate_origin,17. What governorate in Iraq were you living in before your displacement (forced to leave your home)?,في اي محافظة في العراق كنت تعيش قبل نزوحك؟ ( قبل اضطرارك الى مغادرة المنزل),,,true,${calc_idp} = 1,,,,,,,,,,,,,,,,,,
select_one district_origin,district_origin,18. What district in Iraq were you living in before your displacement?,في اي قضاء كنت تعيش قبل نزوحك؟,,,true,${calc_idp} = 1,filter=${governorate_origin},,,,,,,,,,,,,,,,,
select_one ynd1,displaced_again,19. Have you tried to return to your AoO but then decided to displace again in the past 12 months?,هل حاولت العودة الى منطقتك الاصلية ولكنك قررت النزوح مرة اخرى خلال ال12 شهر الماضية؟,,,true,${calc_idp} = 1,,,,,,,,,,,,,,,,,,
end_group,household_profile,,,,,,,,,,,,,,,,,,,,,,,,
begin_group,household_roster,Household Roster,معلومات العائلة,,,true,${calc_noteligible} = 0,,,,,,,,,,,,,,,,,,
integer,num_hh_member,20. How many members are there in your household?,كم عدد افراد الاسرة؟,"A household is a group of people who regularly share meals, income, and expenditures together. Members must acknowledge the authority of one person as head of household and that person must actually live with the rest of the household members. In polygamous households, each wife is treated as a distinct household when the wives live in different houses, cook separately and take decisions independently.","الأسرة عبارة عن مجموعة من الأشخاص الذين يشاركون بانتظام وجبات الطعام والدخل والنفقات معًا. يجب أن يقر الأعضاء بسلطة شخص واحد بصفته رب الأسرة ويجب أن يعيش هذا الشخص بالفعل مع بقية أفراد الأسرة. في الأسر متعددة الزوجات ، تعامل كل زوجة على أنها أسرة متميزة عندما تعيش الزوجات في منازل مختلفة ، وتطبخ بشكل منفصل وتتخذ القرارات بشكل مستقل.",true,,,.> 0,,,,,,,,,,,,,,,,
note,ind_level,"I will now ask you some questions regarding each individual of your **family**. We define family to include anyone who is under guardianship or responsibility of this family (e.g. separated or unaccompanied children, grandparents)? **Please start with the head of your family and please don't forget to include yourself!**",سوف أطرح عليك الآن بعض الأسئلة بخصوص كل فرد من أفراد عائلتك. يتم تعريف العائلة في هذا الاستبيان بالعائلة الأصلية بمافيهم الاشخاص الذين هم تحت وصاية او مسؤولية هذه العائلة ( مثال : الاطفال الغير مصحوبين او المنفصلين او الأجداد)  **الرجاء البدء برب العائلة ولا تنسى ان تدرّج نفسك ايضاً.**,,,,,,,,,,,,,,,,,,,,,,
integer,num_family_member,21. How many members are there in your family?,كم عدد افراد العائلة ؟,If the respondent is not the head of household make sure the head of household is included in the roster.,"اذا لم يكن المجيب  هو رب الاسرة،  يجب التأكد من  اضافة معلومات رب الاسرة الى هذه المجموعة ايضا",true,,,.> 0,,,,,,,,,,,,,,,,
begin_group,composition,Family Composition,تكوين العائلة,,,,,,,,,,,,,,,,,,,,,,
begin_repeat,member,Add a new group for each family member.,اضف مجموعة جديدة لكل فرد من العائلة ,,,true,,,,,,,,${num_family_member},,,,,,,,,,,
select_one relationship,relationship,22. What is [this person]'s relation to the head of household?,ماهي صلة قرابة هذا الشخص برب الاسرة؟,,,true,,,,,,,quick,,,,,,,,,,,,
begin_group,error_start,Is not an error,,,,true,"not(selected(${relationship}, 'error'))",,,,,,,,,,,,,,,,,,
select_one gender,sex,23. What is the sex of [this person]?,ماهو جنس هذه الشخص؟,,,true,,,,,,,quick,,,,,,,,,,,,
integer,age,24. What is the age of [this person]?,كم هو عمر هذا الشخص؟,,,true,,,.< 120,,,,,,,,,,,,,,,,
select_one marital_status,marital_status,"25. What is [this person]'s marital status, including customary marriage?",ماهي الحالة الاجتماعية لهذا الشخص ...الزواج الإعتيادي والزواج خارج المحكمة؟,,,true,${age} >= 12,,,,,,quick,,,,,,,,,,,,
select_one yndd,pregnant_lactating,26. Is the person pregnant or lactating?,هل الشخص حامل او مرضعة؟,,,true,"selected(${sex} , 'female') and (${age} >= 12 and ${age} <= 50)",,,,,,quick,,,,,,,,,,,,
select_multiple health_events,health_issue,27. Does [this person] suffer from any of the following health conditions? ,هل يعاني هذا الشخص من اي من الحالات الصحية التالية؟,,,true,,,"if(selected(.,'none'), count-selected(.)=1, count-selected(.)>=1)","Cannot select ""None"" together with any other option",لا ينبغي تحديد ( لاشيئ ) مع خيار آخر,,,,,,,,,,,,,,
text,health_issue_other,"27.1 if other, please describe","اذا حالة صحية اخرى,  الرجاء الشرح",,,true,"selected(${health_issue}, 'other')",,,,,,,,,,,,,,,,,,
select_one yndd,attend_formal_ed,28. Was the person (6-17) attending school at least 4 days per week prior to the COVID-19 outbreak? (during school season),هل كان الشخص (6-17 سنة) يرتاد المدرسة ل 4 أيام على الأقل في الأسبوع قبل تفشي الفيروس COVID-19؟ (خلال العام الدراسي),,,true,(${age} >= 6 and ${age} <= 17),,,,,,quick,,,,,,,,,,,,
select_one yndd,attend_informal_ed,28.1 Was the person (6-17) attending a non-formal learning environment at least 4 days per week prior to the COVID-19 outbreak? (during school season,هل كان الشخص (6-17 سنة) يرتادبيئة تعليمية غير رسمية ل 4 أيام على الأقل في الأسبوع قبل تفشي الفيروس COVID-19؟ (خلال العام الدراسي),,,true,"not(selected(${attend_formal_ed}, 'yes'))  and (${age} >= 6 and ${age} <= 17)",,,,,,quick,,,,,,,,,,,,
select_one yes_no,work,29. Is [this person] currently working or contributing to household income?,هل يعمل هذا الشخص حالياً او يساهم في الدخل للاسرة؟,,,true,${age} >= 6,,,,,,quick,,,,,,,,,,,,
select_one ynd,actively_seek_work,29.1 Is [this person] actively seeking work?,هل يسعى هذا الشخص بنشاط للحصول على عمل؟,,,true,"selected(${work}, 'no') and ${age}>=18",,,,,,quick,,,,,,,,,,,,
calculate,male_2,ID card,,,,,,,,,,"if(${age} <= 2 and ${sex}='male', 1,0)",,,,,,,,,,,,,
calculate,female_2,,,,,,,,,,,"if(${age} <= 2 and ${sex}='female', 1,0)",,,,,,,,,,,,,
calculate,male_3_5,,,,,,,,,,,"if(${age} >= 3 and ${age} <= 5 and ${sex}='male', 1,0)",,,,,,,,,,,,,
calculate,female_3_5,,,,,,,,,,,"if(${age} >= 3 and ${age} <= 5 and ${sex}='female', 1,0)",,,,,,,,,,,,,
calculate,male_6_17,,,,,,,,,,,"if(${age} >= 6 and ${age} <= 17 and ${sex}='male', 1,0)",,,,,,,,,,,,,
calculate,female_6_17,,,,,,,,,,,"if(${age} >= 6 and ${age} <= 17 and ${sex}='female', 1,0)",,,,,,,,,,,,,
calculate,male_18_59,,,,,,,,,,,"if(${age} >= 18  and ${age} <= 59 and ${sex}='male', 1,0)",,,,,,,,,,,,,
calculate,female_18_59,,,,,,,,,,,"if(${age} >= 18  and ${age} <= 59 and ${sex}='female', 1,0)",,,,,,,,,,,,,
calculate,male_60,,,,,,,,,,,"if(${age} >= 60 and ${sex}='male', 1,0)",,,,,,,,,,,,,
calculate,female_60,,,,,,,,,,,"if(${age} >= 60 and ${sex}='female', 1,0)",,,,,,,,,,,,,
calculate,separated,,,,,,,,,,,"if(${relationship}='nephew_niece', 1,0)",,,,,,,,,,,,,
calculate,child_012,,,,,,,,,,,"if(${age} >0 and ${age} <= 12, 1,0)",,,,,,,,,,,,,
calculate,child_1317,,,,,,,,,,,"if(${age} >=13 and ${age} <= 17, 1,0)",,,,,,,,,,,,,
calculate,child,,,,,,,,,,,"if(${age} >0 and ${age} <= 17, 1,0)",,,,,,,,,,,,,
calculate,child_not_school,,,,,,,,,,,"if(${age} >=6 and ${age} <= 17 and selected(${attend_formal_ed}, 'no'), 1,0)",,,,,,,,,,,,,
calculate,adult_no_work,,,,,,,,,,,"if(selected(${work}, 'no') and selected(${actively_seek_work}, 'yes') and ${age}>=18,1,0)",,,,,,,,,,,,,
end_group,error_end,,,,,,,,,,,,,,,,,,,,,,,,
end_repeat,member_end,,,,,,,,,,,,,,,,,,,,,,,,
end_group,composition_end,,,,,,,,,,,,,,,,,,,,,,,,
end_group,household_roster,,,,,,,,,,,,,,,,,,,,,,,,
calculate,male_2_calc,,,,,,,,,,,sum(${male_2}),,,,,,,,,,,,,
calculate,female_2_calc,,,,,,,,,,,sum(${female_2}),,,,,,,,,,,,,
calculate,male_3_5_calc,,,,,,,,,,,sum(${male_3_5}),,,,,,,,,,,,,
calculate,female_3_5_calc,,,,,,,,,,,sum(${female_3_5}),,,,,,,,,,,,,
calculate,male_6_17_calc,,,,,,,,,,,sum(${male_6_17}),,,,,,,,,,,,,
calculate,female_6_17_calc,,,,,,,,,,,sum(${female_6_17}),,,,,,,,,,,,,
calculate,male_18_59_calc,,,,,,,,,,,sum(${male_18_59}),,,,,,,,,,,,,
calculate,female_18_59_calc,,,,,,,,,,,sum(${female_18_59}),,,,,,,,,,,,,
calculate,male_60_calc,,,,,,,,,,,sum(${male_60}),,,,,,,,,,,,,
calculate,female_60_calc,,,,,,,,,,,sum(${female_60}),,,,,,,,,,,,,
note,calc_note,"Total male children 2 or under: ${male_2_calc}
Total female children 2 or under: ${female_2_calc}
Total male children 3 to 5: ${male_3_5_calc}
Total female children 3 to 5: ${female_3_5_calc}
Total male children 6 to 17: ${male_6_17_calc}
Total female children 6 to 17: ${female_6_17_calc}
Total male adults 18 to 59: ${male_18_59_calc}
Total female adults 18 to 59: ${female_18_59_calc}
Total male adults 60 and over: ${male_60_calc}
Total female adults 60 and over: ${female_60_calc}","Total male children 2 or under: {male_2_calc}$
Total female children 2 or under:{female_2_calc}$
Total male children 3 to 5: {male_3_5_calc}$
Total female children 3 to 5: {female_3_5_calc}$
Total male children 6 to 17: {male_6_17_calc}$
Total female children 6 to 17:{female_6_17_calc}$
Total male adults 18 to 59: {male_18_59_calc}$
Total female adults 18 to 59: {female_18_59_calc}$
Total male adults 60 and over: {male_60_calc}$
{female_60_calc}$ مجموع الاناث البالغات فوق 60 سنة",,,,,,,,,,,,,,,,,,,,,,
calculate,tot_child_012,,,,,,,,,,,sum(${child_012}),,,,,,,,,,,,,
calculate,tot_child_1317,,,,,,,,,,,sum(${child_1317}),,,,,,,,,,,,,
calculate,tot_child,,,,,,,,,,,sum(${child}),,,,,,,,,,,,,
calculate,tot_male,,,,,,,,,,,sum(${male_2})+sum(${male_3_5})+sum(${male_6_17})+sum(${male_18_59})+sum(${male_60}),,,,,,,,,,,,,
